"id_sector","tot_per_cen","opp_cen","opa_cen","temp_cen","desop","const_cen","tot_viv_cen","id_prov","dpa_despro","dpa_descan","dpa_despar","tot_viv_prec","tot_per_prec","ocup_prec","temp_prec","desop_prec","const_prec","colec_prec","id_can","id_par"
"030250999021",107,35,0,2,26,0,63,"03","CAÑAR","BIBLIAN","BIBLIAN",62,116,35,11,15,1,0,"0302","030250"
"030250999022",268,74,0,17,30,2,123,"03","CAÑAR","BIBLIAN","BIBLIAN",119,317,79,31,7,2,0,"0302","030250"
"030250999023",160,44,0,12,29,0,85,"03","CAÑAR","BIBLIAN","BIBLIAN",87,155,42,34,9,2,0,"0302","030250"
"030250999024",156,54,0,13,21,2,90,"03","CAÑAR","BIBLIAN","BIBLIAN",92,198,57,22,10,2,1,"0302","030250"
"030250999025",172,52,0,5,17,1,75,"03","CAÑAR","BIBLIAN","BIBLIAN",74,174,52,19,3,0,0,"0302","030250"
"030250999026",221,60,0,7,17,2,86,"03","CAÑAR","BIBLIAN","BIBLIAN",89,252,67,7,12,3,0,"0302","030250"
"030250999027",140,42,0,4,18,1,65,"03","CAÑAR","BIBLIAN","BIBLIAN",64,159,41,16,4,3,0,"0302","030250"
"030250999028",215,67,0,12,26,0,105,"03","CAÑAR","BIBLIAN","BIBLIAN",104,240,69,21,12,2,0,"0302","030250"
"030250999029",138,45,0,23,13,1,82,"03","CAÑAR","BIBLIAN","BIBLIAN",81,135,43,30,6,2,0,"0302","030250"
"030250999030",175,47,3,8,18,0,76,"03","CAÑAR","BIBLIAN","BIBLIAN",71,152,45,12,14,0,0,"0302","030250"
"030250999031",123,37,0,2,9,0,48,"03","CAÑAR","BIBLIAN","BIBLIAN",45,132,36,8,1,0,0,"0302","030250"
"030250999032",86,28,0,9,16,2,55,"03","CAÑAR","BIBLIAN","BIBLIAN",53,90,25,24,3,1,0,"0302","030250"
"030250999033",87,30,1,12,21,0,64,"03","CAÑAR","BIBLIAN","BIBLIAN",64,98,34,14,15,1,0,"0302","030250"
"030250999034",77,23,0,7,18,0,48,"03","CAÑAR","BIBLIAN","BIBLIAN",49,77,20,20,7,2,0,"0302","030250"
"030250999035",76,23,0,10,21,0,54,"03","CAÑAR","BIBLIAN","BIBLIAN",58,91,29,18,11,0,0,"0302","030250"
"030250999036",73,28,0,15,4,3,50,"03","CAÑAR","BIBLIAN","BIBLIAN",62,87,26,24,11,1,0,"0302","030250"
"030250999037",122,36,0,19,0,1,56,"03","CAÑAR","BIBLIAN","BIBLIAN",61,132,37,8,10,6,0,"0302","030250"
"030250999038",85,27,0,13,1,0,41,"03","CAÑAR","BIBLIAN","BIBLIAN",48,76,21,18,9,0,0,"0302","030250"
"030250999039",95,34,0,18,3,4,59,"03","CAÑAR","BIBLIAN","BIBLIAN",54,120,36,12,2,4,0,"0302","030250"
